sha,size,kind,preview
02351b424194aa4176ee0cbd5edf63b122e25c6b,9959,ts,"'use client';/** * 🏢 ENTERPRISE BUILDINGS & COMPANIES DATA SERVICES - PRODUCTION READY * * "
2e47b15d52633890739192b9de35dd84986f8e22,805,json,"{  "testName": "crosshair-800x800";  "passed": true;  "mismatchedPixels": 0;  "totalPixels": 640"
8c4e1f848cf03e4aa4afc7476bf0f1a424f86dfe,9048,ts,"'use client';/** * ============================================================================="
ee753538715501accb2b0ae537836ff71c46b8b8,755992,bin,"npm info using npm@10.8.2npm info using node@v20.19.0packages/core/polygon-system/examples/SimpleP"
2c9ab11dc401cad153a185666815848f22930d0a,14471,bin,"'use client';// DEBUG FLAG - Set to false to disable performance-heavy logging// 🏢 ENTERPRISE "
2b9c8b0756746d76dfffacb63a3d80e0d298af07,5405,ts,"'use client';import React; { useRef; useMemo } from 'react';import { useCursor } from '../../syst"
3f9f4944aeffe2ffb0352ef984c52419f51ae12e,10359,ts,"'use client';/** * ============================================================================="
13a14d71153e65d6536b08290d999e6a067f5243,797,json,"{  "testName": "combined-320x240";  "passed": true;  "mismatchedPixels": 0;  "totalPixels": 7680"
21a71b0622e4bc214e300f451be911b020261046,1333,ts,"'use client';import React from 'react';import type { ToolType } from '../toolbar/types';import {"
6aaadfd5a8e0d8d531f16a5ba74d99581d906045,886589,bin,"npm info using npm@10.8.2npm info using node@v20.19.0> nextn@0.1.1 lint> next lint`next lint` "
acab95267cdefd9ac6a8379181754b0ab1e0a277,4352,ts,"'use client';import React from 'react';import { Button } from "../../../../components/ui/button""
3bb5ebab5ec3fdf1677945474b6e759cf4921215,6209,ts,"/** * 🏗️ PROJECTS BY COMPANY ENDPOINT * * @module api/projects/by-company/[companyId] * @ve"
22bcdfdd481aeb57bab1116462d87978bcb35c3c,10372,ts,"import { NextRequest; NextResponse } from 'next/server';import { db as getAdminDb } from '@/lib/fir"
f8d18301327b976271037481d31ec8259afe4832,775,json,"{  "testName": "grid-800x600";  "passed": true;  "mismatchedPixels": 0;  "totalPixels": 480000;"
58d40d51e9f15ff89bc14e028624cf4e751a3fd0,35480,ts,"/* 🤖 AUTO-GENERATED DESIGN SYSTEM - Enterprise CSS Variables *//* ⚠️ @import MUST be at the "
d2d7ed6705bb08304ebde562ac2243b41f35af49,2840,ts,"'use client';import React; { Dispatch; SetStateAction } from 'react';import type { DXFEntity; La"
c1d88db781d72e3796b9785d28f67b98b21b7966,79262,ts,"/** * @module useUnifiedDrawing * @description Unified drawing system hook that combines entity cr"
bbdb9383e2afb61097b08efde556d6070fcfef1e,522616,bin,"npm info using npm@10.8.2npm info using node@v20.19.0> nextn@0.1.1 test> jest --passWithNoTests"
6fdc7d70e7e9676538e9e6b3c02c6f70e0822da9,98099,ts,"'use client';import React; { useRef; useState; useCallback; useMemo; useEffect } from 'react';// ="
45fce57f76e8c82d8fa46a39d1eb6b0cafb43ab3,799,json,"{  "testName": "combined-800x600";  "passed": true;  "mismatchedPixels": 0;  "totalPixels": 4800"
d0ffcfc8c9bd835f691a8fd5a6b8ccba0d250f21,781,json,"{  "testName": "grid-1024x768";  "passed": true;  "mismatchedPixels": 0;  "totalPixels": 786432;"
